age,controls,patients
23.0,7.135276526215681e-59,8.419246901026664e-77
23.5,1.918291379905104e-55,7.385529790028332e-73
24.0,4.027979212350486e-52,5.0583036063086e-69
24.5,6.606102776397167e-49,2.704848600807566e-65
25.0,8.462664212578214e-46,1.1292649785640407e-61
25.5,8.468228133933969e-43,3.680981105855643e-58
26.0,6.619474581502742e-40,9.367984139168142e-55
26.5,4.042256875084441e-37,1.861416397133762e-51
27.0,1.9285004889467093e-34,2.887724475200568e-48
27.5,7.18851778109073e-32,3.497701975377201e-45
28.0,2.0936947755118586e-29,3.307689090083089e-42
28.5,4.765131990056286e-27,2.4422009133041627e-39
29.0,8.475390257298059e-25,1.4078387923976796e-36
29.5,1.1781644349084215e-22,6.336352014051295e-34
30.0,1.2801308205556537e-20,2.2265912336139525e-31
30.5,1.0872975103434593e-18,6.108808674007933e-29
31.0,7.219944312293441e-17,1.308541141993068e-26
31.5,3.748511776782458e-15,2.188432069827318e-24
32.0,1.5218569663602757e-13,2.85754835983715e-22
32.5,4.832046339600173e-12,2.91319085157432e-20
33.0,1.2000102424724911e-10,2.3187777049142916e-18
33.5,2.33126609517328e-09,1.4410004767263647e-16
34.0,3.543326171429884e-08,6.991718959864714e-15
34.5,4.2141250808482914e-07,2.6486137635545386e-13
35.0,3.922439699881053e-06,7.83372154266131e-12
35.5,2.857967634018556e-05,1.8089745569222462e-10
36.0,0.00016306610711100332,3.2614567002215287e-09
36.5,0.000729034803102211,4.59098216513909e-08
37.0,0.0025571207990035655,5.045618660538085e-07
37.5,0.007055254185887929,4.329503276995119e-06
38.0,0.015399832748524342,2.90052458702948e-05
38.5,0.026927867380026907,0.00015171546752830486
39.0,0.03873564997689646,0.0006195808673541941
39.5,0.04821698624215906,0.0019755178894676974
40.0,0.0559211048990355,0.004917889489403702
40.5,0.06418026806011055,0.009558536322346179
41.0,0.07263792020305287,0.014505037817650532
41.5,0.07677710244927274,0.01718546648139517
42.0,0.07169590796666547,0.015897208328720124
42.5,0.05697153414997575,0.011482252679470503
43.0,0.03762614066614089,0.006481853647218512
43.5,0.02045358227680516,0.0028988431712656253
44.0,0.009645294900812765,0.0012171094963836257
44.5,0.005802446567162109,0.0011713015843477332
45.0,0.007864840490738285,0.0027879731388637816
45.5,0.014467158771483666,0.0065139706973652844
46.0,0.023289973967855416,0.012386097537314778
46.5,0.030449932360429647,0.019199489994370288
47.0,0.032126717513599155,0.024840561007818614
47.5,0.02739248167761518,0.027531269627825154
48.0,0.019072926205229573,0.026543248931435007
48.5,0.011590478072770893,0.022195358293992287
49.0,0.008110634914124046,0.015999693658910602
49.5,0.009251230822791967,0.010531340140999131
50.0,0.013212460460844967,0.008232053171767059
50.5,0.01670106781002204,0.009874477070797964
51.0,0.016877843374666527,0.013861926522111321
51.5,0.013434562844676055,0.016995537630079924
52.0,0.008675731299955516,0.016730056728482413
52.5,0.005607957699196384,0.013384184105351544
53.0,0.006396444105767204,0.010227216514595957
53.5,0.011986599315079383,0.011763569643426357
54.0,0.021398486812769353,0.021990523897958993
54.5,0.030800383076336736,0.04243093275458841
55.0,0.03510301886503811,0.06932215544010516
55.5,0.03233667938435193,0.09312264013025094
56.0,0.02589861150645844,0.10440846501259818
56.5,0.021185355688115914,0.10271180135563306
57.0,0.02053342260904824,0.09805067847870413
57.5,0.022547365765736047,0.10177215385476908
58.0,0.025762516383497188,0.1168558363252997
58.5,0.031278796958985354,0.13789342224392373
59.0,0.04129048057980272,0.15806213558066418
59.5,0.05617603723566886,0.17444113754190768
60.0,0.07378712678925536,0.18816983002525905
60.5,0.0907101725266964,0.20131742705275105
61.0,0.1035559391611618,0.2152998226710934
61.5,0.11035032628797338,0.23377346526498616
62.0,0.11215717532479819,0.26379754855809157
62.5,0.11243003737747531,0.30802741526820776
63.0,0.11373536247158715,0.3557477994048775
63.5,0.11705093454630251,0.3875779952383383
64.0,0.125264437498476,0.3911705668492372
64.5,0.14359863007233306,0.36902568024950566
65.0,0.17400140666551397,0.33194783356125324
65.5,0.21237767395995566,0.29162105187047327
66.0,0.2536399448288629,0.260433505515806
66.5,0.2952512474604323,0.25082881078782565
67.0,0.3321399232495638,0.2699207147908107
67.5,0.353637439788038,0.3165076721387509
68.0,0.3549296560909198,0.3837066751341304
68.5,0.3520740516959328,0.46160155741858594
69.0,0.3766714604025806,0.5382793296859706
69.5,0.44961945676554355,0.6039507690728497
70.0,0.5618939419904023,0.6569022982725685
70.5,0.6822746733731315,0.7026456757527481
71.0,0.78113155349994,0.7441748634931626
71.5,0.8488737347408623,0.7742472276164272
72.0,0.8980192944769755,0.7818565962262433
72.5,0.9458699261157532,0.7694005975006978
73.0,0.989231698158801,0.759292706741312
73.5,1.0,0.7746335796666494
74.0,0.9522447136678408,0.8120795645833245
74.5,0.8514284382770163,0.8425627183972845
75.0,0.7344844761863208,0.8417891646474692
75.5,0.643848949894843,0.8129751345012718
76.0,0.6008574475828379,0.7778715588671034
76.5,0.5989254941096032,0.7521571080691416
77.0,0.6166442797399063,0.7340840712959318
77.5,0.6347508697930826,0.7173441858855159
78.0,0.6440212371961348,0.7089239259086717
78.5,0.643168309375985,0.7214892119721696
79.0,0.6323425483083142,0.7468522509105788
79.5,0.609320917534534,0.7538724143272065
80.0,0.5711962629966931,0.720439179078431
80.5,0.517521456178719,0.6558639338813399
81.0,0.4515964405959273,0.5877367794192363
81.5,0.3811549170548295,0.5379977947045887
82.0,0.31869751792232714,0.5135853567438998
82.5,0.279281712270234,0.5077260577129794
83.0,0.2750891677045898,0.5047225525235658
83.5,0.3086589406531288,0.4915665732217493
84.0,0.36783126920997555,0.4707914465314344
84.5,0.4262182270415168,0.45781872541745
85.0,0.45281643092252355,0.4622263888096039
85.5,0.42887560878634445,0.47529807470161406
86.0,0.36030259660099706,0.4783839567868083
86.5,0.2729729174849391,0.4594298376224508
87.0,0.19402429024749257,0.4181694687616391
87.5,0.13661752628761148,0.35969957574707245
88.0,0.09920410849419471,0.2899715742129806
88.5,0.07407327772721439,0.2170653865742247
89.0,0.05477724817700948,0.15044966562739878
89.5,0.03833931549536077,0.09650072319668193
90.0,0.024336383969908816,0.056648393549363296
90.5,0.013462796677426269,0.029602956796288132
91.0,0.006268305598566348,0.013283112084430514
91.5,0.0023911019215093147,0.004953155032528195
92.0,0.0007334925226749423,0.0014987062533500133
92.5,0.00017880550014072523,0.00036232202318570053
93.0,3.438808998668954e-05,6.93308817446418e-05
93.5,5.195264473743748e-06,1.0441974460536789e-05
94.0,6.150086840222454e-07,1.2337598431732905e-06
94.5,5.696209505918317e-08,1.1413719313359431e-07
95.0,4.124254744385828e-09,8.257980241285405e-09
95.5,2.3331307830890613e-10,4.669548578618984e-10
96.0,1.030948223216849e-11,2.0627865848236142e-11
96.5,3.5576407567934396e-13,7.117162029374664e-13
97.0,9.586704760724545e-15,1.9176508667415732e-14
97.5,2.017119504975678e-16,4.0346374533399086e-16
98.0,3.3138498117528417e-18,6.6280992740892446e-18
98.5,4.250727945360349e-20,8.501768656827568e-20
99.0,4.257134105960706e-22,8.514459206808235e-22
99.5,3.328828536740701e-24,6.657748090466628e-24
