ADHD-HC,ADHD,ANX-HC,ANX,ASD-HC,ASD,BIP-HC,BIP,DEM-HC,DEM,MCI-HC,MCI,MDD-HC,MDD,MS-HC,MS,SCZ-HC,SCZ,x
0.0020782819535850364,0.0032980385349765666,0.0,0.0,0.008812065751567531,0.012145748987854251,0.24174008810572686,0.13531541833428626,0.06256206554121152,0.0,0.09475923419067879,0.023065632208010067,0.029708973322554566,0.009047365620010643,0.661402157164869,0.1136150234741784,0.169019182048498,0.07146996329920803,-3.4848484848484844
0.0032906130931763078,0.005033848290227391,0.00016775708773695687,0.0,0.013726487036095577,0.017482517482517484,0.29845814977973567,0.17438536306460833,0.08381330685203575,0.0,0.12299361825565655,0.030824072132522543,0.039611964430072755,0.014546744722370055,0.7434514637904468,0.14084507042253522,0.21697430329352155,0.09600154529650377,-3.1818181818181817
0.005542085209560097,0.008331886825203957,0.0005032712632108706,0.00017809439002671417,0.021352313167259787,0.025395656974604344,0.3641703377386197,0.22279397751095864,0.11002979145978153,0.0,0.1537420228195707,0.04298595093310967,0.05436540016168149,0.02164271775767252,0.8179892141756548,0.1704225352112676,0.2725298588490771,0.1294185821904578,-2.878787878787879
0.009698649116730169,0.013712897066481513,0.0011742996141586982,0.00035618878005342833,0.03253685815963396,0.038093485461906516,0.43942731277533037,0.27882599580712786,0.14240317775571004,0.00020214271275520516,0.19048539934248696,0.06080939400293563,0.07578819725141471,0.031044882029448287,0.8805855161787365,0.20258215962441314,0.3360477741585233,0.16824415684759514,-2.575757575757576
0.016453065465881538,0.021176879014060058,0.001677570877369569,0.0007123775601068567,0.04677173360447382,0.05465587044534413,0.5247797356828194,0.339241471316943,0.1811320754716981,0.0004042854255104103,0.23844517501450396,0.08345565107989096,0.10185933710590138,0.04559162675181834,0.9262326656394453,0.2415492957746479,0.40608034744842564,0.21363724164574077,-2.2727272727272716
0.024939383443020435,0.030723832667939596,0.002851870491528267,0.0014247551202137133,0.06558210472801221,0.07471475892528524,0.6103157121879589,0.4078521059653135,0.22542204568023833,0.0008085708510208206,0.2989750531812029,0.10987628433633885,0.1305578011317704,0.06528295192478269,0.9612865947611711,0.2908450704225352,0.4829895041621426,0.26617732277380723,-1.9696969696969688
0.03654312435053689,0.04304808193022045,0.004529441368897836,0.0021371326803205698,0.09252669039145907,0.09900625690099374,0.6881424375917768,0.48484848484848486,0.2756703078450844,0.0014149989892864362,0.369947785728099,0.13986160620675195,0.1639046079223929,0.09029625687422388,0.9888289676425269,0.3457746478873239,0.5647846543612016,0.32393277960208616,-1.666666666666666
0.05351576030481469,0.05988543655615344,0.007213554772689146,0.003027604630454141,0.12794441620064395,0.12826647037173353,0.7650513950073421,0.5631789594053745,0.333862959285005,0.002223569840307257,0.4428543801972539,0.1723631788634934,0.20452708164915118,0.12293773283661522,1.0,0.4014084507042254,0.6549040897575099,0.3865172880046359,-1.3636363636363633
0.07603048146865259,0.08383961117861483,0.010904210702902198,0.004096170970614425,0.1721742077613964,0.16635995583364005,0.8408590308370044,0.6434152849247189,0.40039721946375373,0.0036385688295936932,0.512280023206343,0.21115537848605578,0.2528294260307195,0.16214298385666134,0.99768875192604,0.4565727699530516,0.749728555917481,0.4570214409889898,-1.0606060606060606
0.10408728784205057,0.11629925360180524,0.016775708773695688,0.006411398040961709,0.22504660227080156,0.21567905778432095,0.9034508076358296,0.7217457594816086,0.4701092353525323,0.00505356781888013,0.5826725971765616,0.25707695533654856,0.30941794664510913,0.20507362072024127,0.9836286594761171,0.5192488262910798,0.8311617806731814,0.5356384006181186,-0.7575757575757578
0.14028403186698996,0.15761152577677487,0.02700889112565006,0.010507569011576135,0.2887646161667514,0.2727272727272727,0.9487885462555066,0.79073756432247,0.5447864945382324,0.006468566808166565,0.659446915490234,0.3088697840218075,0.3708569118835893,0.2591804151144226,0.9404853620955316,0.5931924882629108,0.8966702859211002,0.6136758740583349,-0.45454545454545325
0.1891236577762383,0.20847075160562403,0.042274786109713136,0.01674087266251113,0.3631587866463311,0.33437615016562383,0.9821953010279001,0.8538212311797218,0.6254220456802383,0.008894279361229027,0.7356410752272288,0.36821136506605157,0.4385610347615198,0.3287209508603867,0.8782742681047766,0.6633802816901408,0.9504162142598624,0.6847595132316013,-0.1515151515151505
0.24627641149982682,0.2678354452352022,0.061566851199463174,0.024933214603739984,0.4428063040162684,0.402465955097534,1.0,0.9081379836096817,0.7074478649453824,0.012734990903577926,0.8050667182363179,0.43656951142797235,0.5157639450282943,0.4048252616640057,0.8125963020030816,0.718075117370892,0.9855229822656533,0.7539115317751593,0.15151515151515227
0.3115691028749567,0.3318868252039576,0.08538835765811105,0.0365093499554764,0.5302491103202847,0.47828487302171513,0.9957782672540382,0.9475890985324947,0.7811320754716982,0.019405700424499697,0.8646296654418875,0.5105892220591319,0.5947857720291027,0.48270356572645023,0.7372881355932204,0.7730046948356808,1.0,0.8207456055630674,0.45454545454545503
0.3860408728784205,0.40010414858531507,0.11625566180171112,0.05182546749777382,0.6263345195729537,0.562753036437247,0.9744860499265786,0.9765580331618068,0.8490566037735849,0.02890640792399434,0.9114291239605492,0.5823023694694904,0.6740097008892482,0.565371651587724,0.6565870570107858,0.8321596244131455,0.9936663047412233,0.8761831176356963,0.7575757575757578
0.4683062002078282,0.4796042353758028,0.15618184868310686,0.07248441674087266,0.7242840196576852,0.6509017298490982,0.9368575624082232,0.9980941490375452,0.9074478649453823,0.04022639983828583,0.948946045252369,0.6531767666177396,0.7491915925626516,0.6508781266631187,0.5787750385208013,0.8880281690140845,0.9739413680781759,0.922735174811667,1.0606060606060623
0.5549012816072048,0.5681305328935948,0.2081865458815635,0.10008904719501335,0.8142687680054228,0.735737946264262,0.8786710719530103,1.0,0.9519364448857994,0.053365676167374164,0.9820150841229937,0.7248899140280981,0.8128536782538399,0.7321270179173319,0.5034668721109399,0.9368544600938967,0.9467969598262758,0.9673556113579294,1.3636363636363633
0.638205749913405,0.656830411386912,0.2704244254319745,0.13535173642030277,0.8852736824267073,0.8121089436878911,0.8087371512481645,0.9754145225843339,0.9795431976166832,0.0705478067515666,1.0,0.789893059341581,0.8710590137429264,0.8045059428774171,0.4322033898305085,0.9706572769953051,0.9004705030763662,0.9978752173073209,1.6666666666666679
0.7209906477312089,0.7404964415900017,0.3392048314041268,0.17773820124666073,0.9379766141331978,0.8765182186234818,0.7386196769456681,0.9291023441966838,0.9952333664349553,0.09621993127147767,0.9940050280409979,0.8477668274271336,0.9262328213419564,0.8687244988469044,0.3640215716486903,0.9903755868544601,0.8307998552298227,1.0,1.9696969696969688
