x,multi-finetuned,multi-frozen,baseline,linear
0.164,3.1117648127074866e-06,1.8865135285480614e-24,5.1580752742260453e-11,1.0472524888247033e-17
0.166,3.6551415295140335e-06,3.6708786347427864e-24,7.074647744525008e-11,1.6357273678050724e-17
0.168,4.287718600958309e-06,7.11231827605722e-24,9.679989134462417e-11,2.548087062321162e-17
0.17,5.023116378355589e-06,1.372093024765373e-23,1.3212906202925808e-10,3.9587805634919815e-17
0.17200000000000001,5.8768599982555765e-06,2.6356474255637585e-23,1.7991849608561215e-10,6.134122147422424e-17
0.17400000000000002,6.866617427011308e-06,5.041068815894472e-23,2.4440372025141765e-10,9.479539356906766e-17
0.176,8.012462923980113e-06,9.600407572702025e-23,3.3120351047305004e-10,1.4610526695667606e-16
0.178,9.337168012527314e-06,1.8204913934383755e-22,4.4775223848806954e-10,2.2458892382071493e-16
0.18,1.0866522132829569e-05,3.4373178351540895e-22,6.038609286424748e-10,3.4431395104005063e-16
0.182,1.2629685225956802e-05,6.462239480121429e-22,8.124432958376994e-10,5.264592123896635e-16
0.184,1.465957456249319e-05,1.209703394851085e-21,1.0904526313039311e-09,8.028208876282686e-16
0.186,1.699328817848337e-05,2.2547970098784058e-21,1.46008735451029e-09,1.2210021281197194e-15
0.188,1.967256731400449e-05,4.184744160349829e-21,1.95033788432972e-09,1.8520725813198294e-15
0.19,2.2744300262231566e-05,7.73327586172164e-21,2.598965832489534e-09,2.8018404942794403e-15
0.192,2.6261070026370666e-05,1.4229559196222473e-20,3.4550291411005987e-09,4.227393127960871e-15
0.194,3.028174814504064e-05,2.6070717026399355e-20,4.582094568566683e-09,6.36129725972164e-15
0.196,3.487213698021247e-05,4.7560709934245593e-20,6.062312931870989e-09,9.546904267500242e-15
0.198,4.010566266222652e-05,8.63928401501259e-20,8.001573981517388e-09,1.428970518838917e-14
0.2,4.606412075020784e-05,1.5625772557795147e-19,1.0536008172962606e-08,2.1331814293419058e-14
0.202,5.283847648991516e-05,2.8141019803163025e-19,1.3840163598253975e-08,3.175968187145436e-14
0.20400000000000001,6.05297213312704e-05,5.046299489333854e-19,1.8137259913590304e-08,4.7159404989446055e-14
