age,female_ABCD,female_QTAB,female_PING,female_PNC,female_ds000119,female_SLIM,female_QTIM,female_Beijing,female_AOMIC-PIOP2,female_ds000202,female_AOMIC-PIOP1,female_AOMIC-ID1000,female_CoRR,female_HCP,female_FCON1000,female_NIMH,female_NKI-RS,female_MPI-LEMON,female_ds003592,female_ds000222,female_SALD,female_IXI,female_Cam-CAN,female_DLBS,female_UKBB,female_ADNI,male_ABCD,male_QTAB,male_PING,male_PNC,male_ds000119,male_SLIM,male_QTIM,male_Beijing,male_AOMIC-PIOP2,male_ds000202,male_AOMIC-PIOP1,male_AOMIC-ID1000,male_CoRR,male_HCP,male_FCON1000,male_NIMH,male_NKI-RS,male_MPI-LEMON,male_ds003592,male_ds000222,male_SALD,male_IXI,male_Cam-CAN,male_DLBS,male_UKBB,male_ADNI
10,0.8026981450252951,0.8198988195615514,0.8303541315345699,0.839123102866779,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8401349072512647,0.8441821247892074,0.8441821247892074,0.8441821247892074,0.8441821247892074,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.8472175379426644,0.9177065767284992,0.9342327150084317,0.9460370994940978,0.954468802698145,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9548060708263069,0.9595278246205734,0.9595278246205734,0.9598650927487352,0.9598650927487352,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685,0.9622259696458685
11,0.3190556492411467,0.34131534569983135,0.35008431703204046,0.3591905564924115,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.3602023608768971,0.36458684654300166,0.36458684654300166,0.36458684654300166,0.36458684654300166,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.36795952782462055,0.3581787521079258,0.3834738617200675,0.3946037099494098,0.40067453625632377,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.40134907251264756,0.41517706576728497,0.41517706576728497,0.4155143338954469,0.4155143338954469,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086,0.42158516020236086
12,0.278920741989882,0.29679595278246207,0.30320404721753796,0.31298482293423274,0.31399662731871836,0.31399662731871836,0.32748735244519395,0.32748735244519395,0.32748735244519395,0.32748735244519395,0.32748735244519395,0.32748735244519395,0.3406408094435076,0.3406408094435076,0.3406408094435076,0.3406408094435076,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.3426644182124789,0.34536256323777403,0.36694772344013493,0.37470489038785837,0.38549747048903876,0.38684654300168636,0.38684654300168636,0.39831365935919055,0.39831365935919055,0.39831365935919055,0.39831365935919055,0.39831365935919055,0.39831365935919055,0.40640809443507586,0.40640809443507586,0.40640809443507586,0.40640809443507586,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234,0.41112984822934234
13,0.023608768971332208,0.04215851602023609,0.051264755480607084,0.061045531197301856,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.0627318718381113,0.07352445193929173,0.07352445193929173,0.07386172006745363,0.07386172006745363,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.07689713322091063,0.02833052276559865,0.044856661045531196,0.056323777403035416,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.06812816188870152,0.07622259696458684,0.07622259696458684,0.07689713322091063,0.07689713322091063,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763,0.07993254637436763
14,0.0,0.009106239460370995,0.016526138279932545,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.03406408094435076,0.03406408094435076,0.03406408094435076,0.03406408094435076,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.037436762225969644,0.0,0.009106239460370995,0.0178752107925801,0.029679595278246207,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.030016863406408096,0.039797639123102864,0.039797639123102864,0.040809443507588535,0.040809443507588535,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754,0.043170320404721754
15,0.0,0.005396290050590219,0.016526138279932545,0.029342327150084318,0.029679595278246207,0.029679595278246207,0.03069139966273187,0.03069139966273187,0.03069139966273187,0.03069139966273187,0.03069139966273187,0.03069139966273187,0.03912310286677909,0.03912310286677909,0.03946037099494098,0.03946037099494098,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.042495784148397976,0.0,0.0030354131534569982,0.012816188870151771,0.022259696458684655,0.022934232715008433,0.022934232715008433,0.023946037099494097,0.023946037099494097,0.023946037099494097,0.023946037099494097,0.023946037099494097,0.023946037099494097,0.030016863406408096,0.030016863406408096,0.03102866779089376,0.03102866779089376,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209,0.03608768971332209
16,0.0,0.001011804384485666,0.008431703204047217,0.022934232715008433,0.023608768971332208,0.023608768971332208,0.04215851602023609,0.04215851602023609,0.04215851602023609,0.04215851602023609,0.04215851602023609,0.04215851602023609,0.045868465430016866,0.045868465430016866,0.045868465430016866,0.045868465430016866,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.048229342327150086,0.0,0.0,0.008431703204047217,0.019224283305227657,0.019561551433389546,0.019561551433389546,0.03102866779089376,0.03102866779089376,0.03102866779089376,0.03102866779089376,0.03102866779089376,0.03102866779089376,0.03541315345699832,0.03541315345699832,0.03608768971332209,0.03608768971332209,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756,0.040134907251264756
17,0.0,0.0,0.004384485666104553,0.01821247892074199,0.019898819561551432,0.02023608768971332,0.0209106239460371,0.0209106239460371,0.0209106239460371,0.0209106239460371,0.0209106239460371,0.0209106239460371,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.02596964586846543,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.027993254637436762,0.0,0.0,0.0060708263069139965,0.01551433389544688,0.016188870151770656,0.016863406408094434,0.016863406408094434,0.016863406408094434,0.016863406408094434,0.016863406408094434,0.016863406408094434,0.016863406408094434,0.02023608768971332,0.02023608768971332,0.0209106239460371,0.0209106239460371,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208,0.023608768971332208
18,0.0,0.0,0.00775716694772344,0.022596964586846544,0.02327150084317032,0.03338954468802698,0.04654300168634064,0.047892074198988194,0.048903878583473864,0.04991568296795953,0.050590219224283306,0.050590219224283306,0.0657672849915683,0.0657672849915683,0.07116357504215852,0.0715008431703204,0.07318718381112985,0.07318718381112985,0.07386172006745363,0.07386172006745363,0.07386172006745363,0.07386172006745363,0.0745362563237774,0.0745362563237774,0.0745362563237774,0.0745362563237774,0.0,0.0,0.008431703204047217,0.01821247892074199,0.01888701517706577,0.022259696458684655,0.03338954468802698,0.034401349072512646,0.03541315345699832,0.03541315345699832,0.03642495784148398,0.03642495784148398,0.050590219224283306,0.050590219224283306,0.055311973018549745,0.055311973018549745,0.057672849915682965,0.057672849915682965,0.05801011804384486,0.05801011804384486,0.05801011804384486,0.05801011804384486,0.058684654300168636,0.058684654300168636,0.058684654300168636,0.058684654300168636
19,0.0,0.0,0.011804384485666104,0.023608768971332208,0.023608768971332208,0.07352445193929173,0.08566610455311972,0.09005059021922428,0.09477234401349073,0.09713322091062394,0.09949409780775717,0.09949409780775717,0.1284991568296796,0.1284991568296796,0.14165261382799327,0.14165261382799327,0.1426644182124789,0.1426644182124789,0.1463743676222597,0.1463743676222597,0.14738617200674536,0.14772344013490726,0.14839797639123103,0.14839797639123103,0.14839797639123103,0.14839797639123103,0.0,0.0,0.01045531197301855,0.016526138279932545,0.017200674536256323,0.050590219224283306,0.06138279932546374,0.06408094435075885,0.06610455311973018,0.06610455311973018,0.06913996627318718,0.07082630691399663,0.1015177065767285,0.1015177065767285,0.10893760539629005,0.10893760539629005,0.1102866779089376,0.1102866779089376,0.11298482293423272,0.11298482293423272,0.11298482293423272,0.11298482293423272,0.11365935919055649,0.11365935919055649,0.11365935919055649,0.11365935919055649
