x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.53,1.148107043450927e-95,1.030725213494506e-17,1.666442550875423e-27,4.300389343101672e-28,6.771392180126939e-83
0.532,1.7970705639251792e-94,2.239686258490668e-17,4.4298238366813045e-27,1.1912878332621986e-27,7.289003804581664e-82
0.534,2.7636179607966693e-93,4.825366600220052e-17,1.1678870038141042e-26,3.2712441423260106e-27,7.727733331201626e-81
0.536,4.175620387245898e-92,1.0307949808266826e-16,3.0537516577355433e-26,8.904233331451235e-27,8.069187770079701e-80
0.538,6.19860752250794e-91,2.1832986236320478e-16,7.919274459785255e-26,2.4025223048824655e-26,8.298531834324274e-79
0.54,9.040602936388627e-90,4.585142780905496e-16,2.0368363664187565e-25,6.425776960842142e-26,8.405556250393942e-78
0.542,1.2954801971375183e-88,9.547539837799466e-16,5.195726006836449e-25,1.703613952634584e-25,8.385431366545755e-77
0.544,1.8238717171686672e-87,1.9711923395236617e-15,1.3144860858554751e-24,4.477174814070253e-25,8.239068572953775e-76
0.546,2.5228296452467757e-86,4.0352036102354615e-15,3.2982662147107464e-24,1.1663374974115934e-24,7.973051858062206e-75
0.548,3.428559489260046e-85,8.19031966576959e-15,8.207968816552032e-24,3.0118389624003794e-24,7.599146661052834e-74
0.55,4.577892391279429e-84,1.648296072098691e-14,2.0258453920166517e-23,7.709506498282511e-24,7.133437057446117e-73
0.552,6.005505889004194e-83,3.2890357507031623e-14,4.9590426950431767e-23,1.9561796347834884e-23,6.595179407277918e-72
0.554,7.740406007081488e-82,6.507302476467455e-14,1.2039562313725629e-22,4.92014849766772e-23,6.005486173335952e-71
0.556,9.801849100065452e-81,1.2765342125273606e-13,2.898979985920437e-22,1.2266905257556576e-22,5.385964780241112e-70
0.558,1.2195016998094835e-79,2.4829217152141173e-13,6.923118720543005e-22,3.0316505131949777e-22,4.757432453434321e-69
0.56,1.4906886148704384e-78,4.78842558079628e-13,1.6397618386550179e-21,7.426951392826019e-22,4.138810479019588e-68
0.562,1.7902825802456015e-77,9.156334610520706e-13,3.851967446028172e-21,1.803554839245483e-21,3.546273609744788e-67
0.5640000000000001,2.1124496389340647e-76,1.736000405306287e-12,8.974446960694446e-21,4.3414564248569945e-21,2.9926969078395474e-66
0.5660000000000001,2.448957617291297e-75,3.2634525851402747e-12,2.0737503259744412e-20,1.0359263134466601e-20,2.4874080054258855e-65
0.5680000000000001,2.789371125294336e-74,6.082809035347386e-12,4.752579276162193e-20,2.4502455396995223e-20,2.036221984760516e-64
0.5700000000000001,3.121486489333953e-73,1.1241662159947498e-11,1.0802564387121942e-19,5.74483652067168e-20,1.6417121854732433e-63
0.5720000000000001,3.4319957782888767e-72,2.0599488711204304e-11,2.435282927015568e-19,1.335159244005177e-19,1.303655166015851e-62
0.5740000000000001,3.707337782240024e-71,3.7426741858283986e-11,5.444995727464789e-19,3.075925304048431e-19,1.019582213046178e-61
