x,multi-finetuned,multi-frozen,baseline,linear
0.25,0.037410847241582244,0.0008519135864159773,0.01300009636369349,6.417747389181773e-05
0.252,0.03848899389158211,0.0009757027230987201,0.01410419293850284,7.60067155677711e-05
0.254,0.03956218366091725,0.0011155150971356676,0.015268757245913462,8.983202757225679e-05
0.256,0.04062920696954464,0.0012731226810134115,0.01649382495620628,0.00010595494533007256
0.258,0.04168894358289859,0.0014504503656623934,0.017779131441092538,0.00012471623648078775
0.26,0.042740371245538554,0.0016495834517131355,0.019124109797120762,0.00014649995082704998
0.262,0.04378257357448714,0.0018727747638377027,0.020527894268465137,0.00017173772348896214
0.264,0.044814747127416205,0.0021224512690284996,0.021989329511337852,0.00020091332165450535
0.266,0.04583620756906775,0.002401220071470758,0.02350698606434089,0.00023456742040226907
0.268,0.04684639486863302,0.002711873649409489,0.025079182295626643,0.000273302587646609
0.27,0.047844877471146026,0.0030573941933515537,0.026704012989542236,0.0003177884523468831
0.272,0.04883135539714727,0.003440956900342233,0.02837938461369644,0.0003687670237787079
0.274,0.049805662236795174,0.0038659320761852273,0.03010305717378068,0.00042705812295181454
0.276,0.050767766017085214,0.004335885896605927,0.031872692420102475,0.000493564880261951
0.278,0.05171776893371438,0.004854579679758915,0.033685908019193175,0.0005692792462907264
0.28,0.05265590595221854,0.005425967526406718,0.03554033714896215,0.0006552874554471252
0.28200000000000003,0.05358254229613099,0.0060541921907881005,0.03743369281997072,0.0007527753750306226
0.28400000000000003,0.054498169852876734,0.006743579054861828,0.03936383607205812,0.000863033665463984
0.28600000000000003,0.05540340254073935,0.00749862809143837,0.04132884704855914,0.0009874626710922633
0.28800000000000003,0.056298970692337864,0.008324003717833496,0.043327097813623046,0.0011275769552920591
0.29,0.05718571452145218,0.009224522461187634,0.045357325655637125,0.0012850093889198284
0.292,0.0580645767505739,0.010205138379522735,0.047418705515371175,0.0014615146976032984
0.294,0.05893659448608192,0.011270926208925338,0.04951092009491871,0.001658972371311302
0.296,0.05980289043631367,0.012427062236848405,0.051634226146273894,0.0018793888392973656
