age,tenth,ninetyeth,baseline
62.1,0.9957916189055781,0.9972009894729759,0.9965363992938869
62.2,0.9957370797710775,0.9971646892746404,0.9964914952387427
62.3,0.9955733347930543,0.9970556997620309,0.9963566754166873
62.4,0.9952431392198604,0.9968359015777362,0.9960847961389626
62.5,0.9952431392198604,0.9968359015777362,0.9960847961389626
62.6,0.9952431392198604,0.9968359015777362,0.9960847961389626
62.7,0.9951326010295344,0.9967623151956806,0.9959937766783105
62.8,0.9951326010295344,0.9967623151956806,0.9959937766783105
62.9,0.9947991029685782,0.9965402855780254,0.9957191565287076
63.0,0.9947991029685782,0.9965402855780254,0.9957191565287076
63.1,0.9947991029685782,0.9965402855780254,0.9957191565287076
63.2,0.9947991029685782,0.9965402855780254,0.9957191565287076
63.3,0.9945758077697796,0.9963916106485338,0.9955352741906253
63.4,0.9945758077697796,0.9963916106485338,0.9955352741906253
63.5,0.9945758077697796,0.9963916106485338,0.9955352741906253
63.6,0.9945758077697796,0.9963916106485338,0.9955352741906253
63.7,0.9944628847160493,0.9963164196958638,0.9954422799056658
63.8,0.994180228880297,0.9961281979057887,0.9952094992345897
63.9,0.9939539151836926,0.9959774816616951,0.9950231105661388
64.0,0.9939539151836926,0.9959774816616951,0.9950231105661388
64.1,0.99389712846311,0.9959396620771305,0.9949763406683967
64.2,0.99389712846311,0.9959396620771305,0.9949763406683967
64.3,0.9936692615296926,0.9957878969008055,0.9947886632740556
64.4,0.9936692615296926,0.9957878969008055,0.9947886632740556
64.5,0.9934409788306363,0.995635843109962,0.994600635792901
64.6,0.9934409788306363,0.995635843109962,0.994600635792901
64.7,0.9934409788306363,0.995635843109962,0.994600635792901
64.8,0.9932110834026838,0.9954827032751873,0.9944112722290265
64.9,0.9932110834026838,0.9954827032751873,0.9944112722290265
65.0,0.9930384287604745,0.9953676853273257,0.9942690524673861
65.1,0.9928080073897397,0.9952141742672874,0.994079242039349
65.2,0.9925774089406586,0.9950605332714955,0.9938892779233427
65.3,0.9922308695479541,0.994829621705458,0.9936037883945762
65.4,0.9922308695479541,0.994829621705458,0.9936037883945762
65.5,0.9919979208006945,0.9946743844395632,0.9934118683061434
65.6,0.9918813745554472,0.9945967133230466,0.9933158460502992
65.7,0.9918813745554472,0.9945967133230466,0.9933158460502992
65.8,0.9917645540856694,0.9945188563807007,0.9932195958540202
65.9,0.9915304492743818,0.9943628240830281,0.9930267072202761
66.0,0.9912961089394676,0.9942066224334059,0.9928336164427226
66.1,0.991178738391002,0.9941283833884393,0.9927369029033746
66.2,0.9910013054387056,0.9940101009291673,0.9925906939823922
66.3,0.9910013054387056,0.9940101009291673,0.9925906939823922
66.4,0.9908234084305017,0.9938915019850314,0.9924440980092577
66.5,0.9908234084305017,0.9938915019850314,0.9924440980092577
66.6,0.9907045234807373,0.9938122407437582,0.9923461283030575
66.7,0.9905854393965099,0.9937328435405798,0.9922479924063374
66.8,0.9905258140996877,0.9936930882277819,0.9921988550629162
66.9,0.9904064704945047,0.9936135131756068,0.9921005021498309
67.0,0.9902869221842122,0.9935337984075733,0.9920019784295969
67.1,0.9901671467424964,0.9934539289518167,0.9919032654082218
67.2,0.9898070678929726,0.9932137992667969,0.9916064934012082
67.3,0.9898070678929726,0.9932137992667969,0.9916064934012082
67.4,0.9896838124288023,0.9931315958294384,0.991504903555741
67.5,0.9894370415806738,0.9929670052860397,0.9913015028920422
67.6,0.9894370415806738,0.9929670052860397,0.9913015028920422
67.7,0.9891897225172277,0.9928020352823083,0.9910976413387154
67.8,0.9890039458187903,0.9926781069757867,0.9909445023302752
67.9,0.9888798187678625,0.9925952996936336,0.9908421793713893
68.0,0.9884446303476143,0.9923049505038378,0.9904834179302088
68.1,0.988195506860126,0.9921387208976717,0.9902780324423786
68.2,0.988195506860126,0.9921387208976717,0.9902780324423786
68.3,0.9876940977493799,0.991804109109701,0.989864626666107
68.4,0.9875684994757458,0.9917202830776213,0.989761066574814
