x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.212,7.633086238676816e-27,0.007333328626001366,0.027301231870434334,1.7450444073308354e-28,1.531893678406355e-09
0.214,1.3926494307499344e-26,0.007682883862091261,0.028161051927682753,3.0321354039339865e-28,1.905024785992864e-09
0.216,2.532783545626725e-26,0.008041420008736755,0.029031681322068938,5.255240153682011e-28,2.3657436600346894e-09
0.218,4.591652146787949e-26,0.008408659051162727,0.029912539906056426,9.085281972545713e-28,2.9337965186236155e-09
0.22,8.297638612396909e-26,0.008784285368765209,0.030803022399535498,1.566701004875075e-27,3.6331869760797852e-09
0.222,1.4947022416902742e-25,0.0091679453452426,0.031702499651607104,2.694856853386448e-27,4.493049204936736e-09
0.224,2.6839195197089018e-25,0.009559247155601138,0.03261032002140169,4.62367338529252e-27,5.548690253011866e-09
0.226,4.80395493985061e-25,0.009957760739838116,0.033525810875337375,7.912987196720092e-27,6.842832173072685e-09
0.228,8.57122695163875e-25,0.010363017972299023,0.03444828019755961,1.3508142891191933e-26,8.427089748547499e-09
0.23,1.5244096781563543e-24,0.010774513034791789,0.035377018309636785,2.3001316667886407e-26,1.0363725497979747e-08
0.232,2.702558062901064e-24,0.011191703000527868,0.03631129969492001,3.9067139778696687e-26,1.2727730414596113e-08
0.234,4.775985531466687e-24,0.01161400863484856,0.03725038492231179,6.618695539459396e-26,1.5609286657010985e-08
0.23600000000000002,8.4132850766893e-24,0.012040815417493425,0.03819352266353429,1.1184976086347986e-25,1.9116677275318707e-08
0.23800000000000002,1.477348108505209e-23,0.012471474789880586,0.039139951797344946,1.8853829890367018e-25,2.3379718167802734e-08
0.24,2.5859177625010823e-23,0.012905305629505716,0.040088903593522254,3.17004901517367e-25,2.855379896342097e-08
0.242,4.5119181375023455e-23,0.013341595952134487,0.041039603968840224,5.316603085733526e-25,3.482463257267902e-08
0.244,7.84733777876631e-23,0.013779604840974785,0.04199127580667135,8.894148360599702e-25,4.241382791561546e-08
0.246,1.360498650056501e-22,0.014218564600476897,0.042943141331309435,1.4841451218429261e-24,5.1585417004176315e-08
0.248,2.3511942823058557e-22,0.014657683130837845,0.0438944245275887,2.4703030665309564e-24,6.265348632339295e-08
0.25,4.050359314116142e-22,0.015096146517688896,0.0448443535959005,4.101341903584402e-24,7.599108352971035e-08
0.252,6.955257610168799e-22,0.015533121829838369,0.04579216343227405,6.792092352327355e-24,9.204059408495479e-08
0.254,1.190549676992145e-21,0.015967760116336792,0.046737098122802585,1.1219746875832398e-23,1.1132580880038224e-07
0.256,2.031404715211996e-21,0.016399199592543337,0.047678413441357106,1.8486913344300573e-23,1.344659326153348e-07
0.258,3.455095246519839e-21,0.01682656900331476,0.04861537933924928,3.038418711015084e-23,1.6219181752425913e-07
0.26,5.8578497101028005e-21,0.017248991149924245,0.0495472824152766,4.9811854206974844e-23,1.9536473864353358e-07
0.262,9.899905738234342e-21,0.017665586565864057,0.05047342835441899,8.145535956119586e-23,2.34998072226257e-07
0.264,1.6677790997322235e-20,0.01807547732530321,0.051393144323350036,1.3286435771604308e-22,2.82282278236989e-07
0.266,2.8006615421071473e-20,0.018477790966676476,0.05230578131089101,2.161718755381043e-22,3.3861363813061253e-07
0.268,4.688105342964772e-20,0.018871664512685012,0.05321071640156045,3.5082599028500697e-22,4.056272509694045e-07
0.27,7.822556868420779e-20,0.01925624856690472,0.05410735497047202,5.679187408968363e-22,4.852348481713979e-07
0.272,1.3011121413742388e-19,0.019630711466238366,0.05499513278799927,9.170278228714955e-22,5.796680491978026e-07
0.274,2.1572245953627615e-19,0.019994243467621967,0.05587351802286281,1.4770006845253488e-21,6.915277475119958e-07
0.276,3.565255266776741e-19,0.02034606094671416,0.05674201313260431,2.372907193833286e-21,8.238403882903785e-07
0.278,5.873548108108079e-19,0.020685410585769438,0.0576001566307894,3.802617845387046e-21,9.80121976698722e-07
0.28,9.64550706815251e-19,0.021011573527527607,0.05844752472073235,6.0783609201455105e-21,1.164450738067685e-06
0.28200000000000003,1.5789349215506058e-18,0.021323869471750384,0.059283732786049356,9.691525870833298e-21,1.3815494389364822e-06
0.28400000000000003,2.5764281168608598e-18,0.0216216606910049,0.06010843672893708,1.5413444702344144e-20,1.6368784705272301e-06
0.28600000000000003,4.1906989480733535e-18,0.021904355942436476,0.06092133414771835,2.4451704136794508e-20,1.936740893509515e-06
0.28800000000000003,6.794688153740424e-18,0.022171414252591417,0.061722165345913585,3.869193331157132e-20,2.288400744547464e-06
0.29,1.0981640663610602e-17,0.02242234855284255,0.06251071416586608,6.107079931093622e-20,2.7002160105951777e-06
0.292,1.769210717349828e-17,0.022656729143636856,0.06328680864078061,9.614985943805494e-20,3.181787785584558e-06
0.294,2.8412308885554936e-17,0.022874186966619324,0.06405032145991227,1.5099604761403e-19,3.7441272352370367e-06
0.296,4.548289780409381e-17,0.02307441666468716,0.06480117024257487,2.3652899286877133e-19,4.399842108260982e-06
0.298,7.257789349197876e-17,0.023257179411185495,0.0655393176176068,3.6957710849661626e-19,5.16334464501204e-06
0.3,1.1544502567472658e-16,0.02342230549076262,0.06626477110594302,5.760068158908669e-19,6.0510828464368464e-06
0.302,1.8304620255417555e-16,0.023569696615849085,0.066977582804984,8.954721033623547e-19,7.081797175214352e-06
0.304,2.8930827484041746e-16,0.02369932796429986,0.0676778488745208,1.3886038952597502e-18,8.276804865646802e-06
0.306,4.558013644172046e-16,0.023811249925429344,0.06836570882506268,2.1478630083708114e-18,9.660314116989432e-06
0.308,7.15821963059921e-16,0.02390558954346334,0.06904134461051886,3.3138790953862488e-18,1.1259770534247314e-05
0.31,1.1205959567893149e-15,0.02398255164931353,0.0697049795282936,5.099981764121623e-18,1.3106238258457781e-05
