y,case,control
-4.577777947880989,0.00412918373689939,0.0009735384061882031
-4.555457257372886,0.004246705046140434,0.001003270669223272
-4.533136566864785,0.004367257061073419,0.0010338433572716858
-4.510815876356682,0.004490908230271119,0.0010652780212212082
-4.488495185848581,0.004617728264763497,0.0010975966962818908
-4.4661744953404785,0.004747788153446439,0.0011308219108610166
-4.4438538048323775,0.004881160178460094,0.0011649766955438385
-4.421533114324275,0.005017917930529559,0.0012000845921798476
-4.399212423816173,0.005158136324259685,0.0012361696630740864
-4.376891733308071,0.005301891613376599,0.0012732565002830437
-4.354571042799969,0.005449261405907332,0.0013113702350145485
-4.332250352291867,0.005600324679289342,0.0013505365471310872
-4.309929661783765,0.005755161795401432,0.0013907816747558415
-4.287608971275663,0.005913854515507135,0.0014321324239807208
