x,case,control
-2.9255726457919526,0.002154204586740273,0.005936447487533629
-2.9023603513837974,0.0022202017494907505,0.006102442030169381
-2.879148056975642,0.0022880507452312294,0.006272611547552647
-2.8559357625674866,0.0023577979250113783,0.006447046795581109
-2.832723468159331,0.0024294906248543374,0.00662584009244467
-2.8095111737511753,0.002503177181493837,0.006809085334226406
-2.78629887934302,0.002578906948212917,0.006996878010341745
-2.7630865849348645,0.0026567303107801607,0.007189315218804665
-2.7398742905267093,0.0027366987034790694,0.00738649568130909
-2.7166619961185536,0.002818864625226317,0.007588519758113458
-2.6934497017103984,0.0029032816557740863,0.007795489462716626
-2.670237407302243,0.00299000447199186,0.00800750847631242
-2.647025112894087,0.003079088864222494,0.008224682162010494
-2.623812818485932,0.0031705917527076245,0.008447117578810446
-2.6006005240777763,0.003264571204076765,0.00867492349531646
-2.577388229669621,0.00336108644789483,0.00890821040317889
-2.5541759352614655,0.003460197893262053,0.009147090530249688
-2.5309636408533103,0.003561967145460587,0.009391677853437712
-2.5077513464451546,0.003666457022641412,0.009642088111250086
-2.484539052036999,0.0037737315725453724,0.00989843881600577
-2.461326757628844,0.003883856089251663,0.010160849265706715
-2.438114463220688,0.003996897129947007,0.01042944055555224
-2.414902168812533,0.00411292253170866,0.010704335589082088
-2.3916898744043773,0.004232001428293836,0.01098565908893299
-2.368477579996222,0.004354204266928316,0.011273537607193969
-2.3452652855880665,0.004479602825086653,0.011568099535344767
-2.322052991179911,0.0046082702272558914,0.01186947511376248
-2.2988406967717556,0.004740280961675068,0.012177796440779938
-2.2756284023636,0.004875710897041955,0.012493197481281214
-2.252416107955445,0.005014637299178704,0.012815814074817028
-2.229203813547289,0.0051571388476476365,0.013145783943224878
-2.205991519139134,0.005303295652308206,0.013483246697737258
-2.1827792247309783,0.005453189269805959,0.0138283438455614
-2.1595669303228227,0.0056069027199842645,0.014181218795914276
-2.1363546359146675,0.005764520502208907,0.014542016865495763
-2.113142341506512,0.005926128611596014,0.014910885283383737
-2.0899300470983566,0.006091814555133008,0.015287973195333218
-2.066717752690201,0.006261667367682458,0.015673431667463388
-2.0435054582820458,0.006435777627858149,0.01606741368931472
-2.02029316387389,0.006614237473762812,0.016470074176259085
-1.9970808694657345,0.0067971406185763856,0.01688156997124535
-1.9738685750575793,0.006984582365983568,0.017302059845863266
-1.9506562806494236,0.007176659625429541,0.017731704500707504
-1.9274439862412684,0.007373470927191759,0.01817066656502494
-1.9042316918331128,0.007575116437256258,0.018619110595626855
-1.8810193974249576,0.007781697971986323,0.01907720307504844
-1.857807103016802,0.007993319012571005,0.019545112408938366
-1.8345948086086463,0.008210084719241244,0.020023008922659475
-1.8113825142004911,0.008432101945240507,0.020511064857083972
-1.7881702197923355,0.008659479250537259,0.021009454363564262
-1.7649579253841798,0.008892326915265675,0.021518353498062193
-1.741745630976025,0.009130756952881802,0.02203794021441839
-1.7185333365678694,0.009374883123020716,0.022568394356744372
-1.6953210421597138,0.009624820944041676,0.023109897650918775
-1.6721087477515582,0.009880687705246463,0.023662633695171027
-1.6488964533434025,0.010142602478757385,0.02422678794973365
-1.6256841589352478,0.010410686131039761,0.024802547725546364
-1.6024718645270921,0.010685061334054958,0.025390102171993875
-1.5792595701189365,0.01096585257602861,0.025989642263660174
-1.5560472757107808,0.011253186171819009,0.026601360786081604
-1.532834981302626,0.011547190272871058,0.02722545232048199
-1.5096226868944704,0.011847994876739504,0.027862113227472042
-1.4864103924863148,0.012155731836166452,0.02851154162969626
-1.4631980980781591,0.012470534867697416,0.029173937393410912
-1.4399858036700035,0.012792539559819578,0.029849502108975436
-1.4167735092618488,0.013121883380606686,0.030538439070241927
-1.393561214853693,0.01345870568485391,0.031240953252825367
-1.3703489204455375,0.01380314772068664,0.03195725129123915
-1.3471366260373818,0.014155352635626301,0.03268754145487968
-1.3239243316292262,0.014515465482097058,0.03343203362284478
-1.3007120372210714,0.014883633222355827,0.03419093925756995
-1.2774997428129158,0.015260004732829737,0.034964471377268255
-1.2542874484047601,0.01564473080784265,0.03575284452715763
-1.2310751539966045,0.01603796416271494,0.03655627474946303
-1.2078628595884497,0.016439859436218174,0.03737497955217697
-1.184650565180294,0.01685057319236823,0.03820917787656691
-1.1614382707721385,0.017270263921538426,0.039059090063413585
-1.1382259763639828,0.01769909204087622,0.0399249378179694
-1.1150136819558272,0.018137219894004884,0.040806944173622225
-1.0918013875476724,0.018584811749993296,0.041705333454253576
-1.0685890931395168,0.019042033801575483,0.04262033123527833
-1.0453767987313611,0.01950905416260271,0.043552164303354665
-1.0221645043232055,0.019986042864709765,0.04450106061475373
-0.9989522099150498,0.020473171853178256,0.04546724925237712
-0.9757399155068951,0.020970614981978362,0.046450960381413546
-0.9525276210987395,0.021478548007972095,0.0474524252036237
-0.9293153266905838,0.021997148584259003,0.048471875910245064
-0.9061030322824282,0.022526596252648048,0.049509545633507276
-0.8828907378742734,0.023067072435236254,0.050565668396751015
-0.8596784434661178,0.02361876042507799,0.051640479063141786
-0.8364661490579621,0.024181845375925517,0.052734213282972384
-0.8132538546498065,0.024756514291024764,0.05384710743954717
-0.7900415602416508,0.0253429560109475,0.05497939859364324
-0.7668292658334961,0.025941361200443457,0.05613132442654219
-0.7436169714253404,0.02655192233429406,0.05730312318162951
-0.7204046770171848,0.02717483368215142,0.05849503360455597
-0.6971923826090292,0.027810291292344646,0.05970729488195981
-0.6739800882008735,0.02845849297463737,0.06094014657874561
-0.6507677937927188,0.029119638281918693,0.06219382857391952
-0.6275554993845631,0.029793928490811646,0.06346858099497883
-0.6043432049764075,0.03048156658118223,0.06476464415085571
-0.5811309105682518,0.031182757214533043,0.06608225846341671
-0.5579186161600971,0.031897706711265024,0.06742166439751754
-0.5347063217519414,0.03262662302679221,0.0687831023896168
-0.5114940273437858,0.03336971572649251,0.07016681277495013
-0.48828173293563015,0.034127195959480924,0.07157303571326987
-0.4650694385274745,0.034899276431188446,0.07300201111315328
-0.44185714411931976,0.03568617137473303,0.07445397855488577
-0.4186448497111641,0.036488096521067395,0.07592917721192463
-0.39543255530300847,0.037305269067889724,0.07742784577095074
-0.37222026089485283,0.03813790764730333,0.07895022235051573
-0.3490079664866972,0.03898623229221199,0.08049654441829435
-0.32579567207854243,0.039850464401437406,0.0820670487069504
-0.3025833776703868,0.04073082670354624,0.08366197112862869
-0.27937108326223115,0.041627543219374036,0.08528154668808212
-0.2561587888540755,0.042540839223234976,0.0869260093944496
-0.23294649444592075,0.04347094120280417,0.08859559217169503
-0.2097342000377651,0.04441807681766371,0.09029052676772505
-0.18652190562960946,0.04538247485649908,0.09201104366219776
-0.16330961122145382,0.04636436519293858,0.09375737197304108
-0.14009731681329818,0.047363978740023634,0.09552973936169798
-0.11688502240514342,0.04838154740330269,0.09732837193711562
-0.09367272799698778,0.04941730403253865,0.09915349415849933
-0.07046043358883214,0.05047148237202267,0.10100532873685059
-0.047248139180676496,0.05154431700948607,0.10288409653531229
-0.024035844772520853,0.05263604332360421,0.10479001646834109
-0.0008235503643660991,0.053746897430085136,0.10672330539973338
0.022388744043789544,0.05487711612633759,0.10868417803952715
0.045601038451945186,0.056026936834713,0.11067284683980634
0.06881333286010083,0.05719659754431779,0.11268952188943392
0.09202562726825558,0.05838633675139069,0.11473441080774285
0.11523792167641123,0.059596393398243235,0.11680771863721137
0.13845021608456687,0.060827006810759816,0.11890964773515417
0.1616625104927225,0.06207841663445703,0.12104039766445945
0.18487480490087815,0.06335086276909903,0.12320016508340524
0.2080870993090329,0.06464458530187109,0.12538914363458556
0.23129939371718855,0.06595982443910949,0.12760752383298335
0.2545116881253442,0.06729682043659065,0.12985549295322266
0.27772398253349984,0.06865581352838025,0.1321332349160381
0.3009362769416546,0.0700370438542463,0.13444093017399836
0.32414857134981023,0.07144075138563835,0.13677875559652167
0.3473608657579659,0.07286717585023847,0.13914688435422298
0.3705731601661215,0.0743165566550883,0.14154548580263282
0.39378545457427716,0.07578913280829938,0.14397472536532976
0.4169977489824319,0.07728514283935231,0.14643476441652892
0.44021004339058756,0.0788048247179939,0.1489257601631693
0.4634223377987432,0.08034841577173972,0.15144786552654496
0.48663463220689884,0.08191615260199361,0.15400122902352556
0.5098469266150545,0.08350827099879218,0.15658599464741266
0.5330592210232092,0.08512500585418835,0.15920230174847871
0.5562715154313649,0.0867665910742842,0.16185028491423833
0.5794838098395205,0.08843325948992814,0.1645300738494995
0.6026961042476762,0.09012524276608931,0.16724179325624686
0.6259083986558309,0.09184277130992638,0.16998556271340692
0.6491206930639866,0.09358607417756463,0.1727614965565485
0.6723329874721422,0.09535537897960097,0.17556970375756967
0.6955452818802978,0.09715091178535319,0.17841028780442747
0.7187575762884535,0.09897289702587439,0.18128334658096326
0.7419698706966082,0.1008215573957519,0.18418897224688022
0.7651821651047639,0.10269711375371189,0.18712725111792983
0.7883944595129195,0.10459978502205264,0.1900982635463627
0.8116067539210752,0.10652978808492997,0.19310208380170427
0.8348190483292308,0.10848733768551816,0.19613877995191292
0.8580313427373856,0.11047264632207292,0.1992084137449792
0.8812436371455412,0.11248592414292276,0.2023110404910287
0.9044559315536969,0.11452737884041565,0.20544670894498648
0.9276682259618525,0.11659721554385004,0.20861546118986757
0.9508805203700073,0.11869563671142075,0.211817332520754
0.9740928147781629,0.12082284202120842,0.2150523513295212
0.9973051091863185,0.1229790282612466,0.2183205389903781
1.0205174035944742,0.1251643892186972,0.22162190974628418
1.0437296980026298,0.12737911556817033,0.2249564705963079
1.0669419924107846,0.12962339475922188,0.2283242211839921
1.0901542868189402,0.13189741090306512,0.23172515368679134
1.1133665812270959,0.13420134465853384,0.23515925270664606
1.1365788756352515,0.13653537311733607,0.23862649516176218
1.1597911700434071,0.13889966968863404,0.24212685017966018
1.183003464451562,0.1412944039829953,0.24566027899156218
1.2062157588597175,0.14371974169575288,0.24922673482818436
1.2294280532678732,0.14617584448981732,0.25282616281699943
1.2526403476760288,0.14866286987798516,0.25645849988104136
1.2758526420841836,0.15118097110478662,0.2601236746393158
1.2990649364923392,0.15373029702791927,0.2638216073088881
1.3222772309004949,0.15631099199931142,0.26755220960871273
1.3454895253086505,0.15892319574586605,0.27131538466527605
1.3687018197168062,0.16156704324993035,0.2751110269201189
