covariate,coef,p,significant,coef_stratified,p_stratified,significant_stratified,equal
Component 50,0.0007097172542257209,0.9689551415841898,False,-0.023784126290116916,0.19591890065153064,False,False
Component 51,0.06536598905818908,0.0036262475599292926,True,0.058609219339540504,0.009899808285225813,True,True
Component 52,0.008090264968164907,0.6913317390245054,False,0.016529761484481344,0.4238700061460634,False,True
Component 53,-0.004863093247110353,0.8054957681820861,False,-0.0015060427929345023,0.940507271659432,False,True
Component 54,0.032349447161768005,0.204475130142591,False,0.046510841559990294,0.0706737367658775,False,True
Component 55,0.033293066210970716,0.08207373316100043,False,0.029805031859338242,0.12072452578565596,False,True
Component 56,0.028405214817260025,0.20674299157989073,False,0.037091768961956,0.10388106943936345,False,True
Component 57,-0.03021694333420071,0.1470421959585119,False,-0.041071119278934635,0.051973158162084504,False,True
Component 58,-0.10991395348757384,2.180470536812878e-08,True,-0.11769006014774434,4.087908002302549e-09,True,True
Component 59,0.03523172437359377,0.05023262191534202,False,0.06130125081834068,0.0007212261682888296,True,True
Component 60,-0.01733899425394108,0.41237367028424243,False,-0.02858205144852003,0.17343837594610817,False,True
Component 61,0.011016893000389582,0.5543988006515967,False,0.011104958965233665,0.5554019068107097,False,True
Component 62,0.06662606112969428,0.0008238746071525068,True,0.04579164825118341,0.02263608192437594,True,True
Component 63,0.018813276047294405,0.3361716723797583,False,0.05476234047458474,0.0061254836165512494,True,True
