thresholds,test,sex,randomized_images,randomized_weights
0.45,0.4573728984023607,0.46407367956109685,0.2873303808606778,0.5326492798358272
0.46,0.4546812044272254,0.4597769772168689,0.27978876268750974,0.5287596173445592
0.47000000000000003,0.45224515794902626,0.4555935811845585,0.2725191863647156,0.5244433336882669
0.48,0.44991833517816376,0.4513235257562221,0.2652812647592533,0.5202050008879544
0.49,0.44774212400911834,0.4468952993778523,0.2579907892912465,0.5162394225414066
0.5,0.44564766138119705,0.4423370828891603,0.2512542028531499,0.5126319913436066
0.51,0.443664091813332,0.43748971972478345,0.2448071032434462,0.5091147915476869
0.52,0.4418266839435692,0.4325456290809554,0.23882043954721,0.5059023921473748
0.53,0.4399269091112048,0.42725005641975977,0.23323402916355584,0.5027259610327492
0.54,0.43813168149491927,0.42191468348258004,0.2276925365609749,0.49964462316367503
0.55,0.4364104249443041,0.41633879970701076,0.2221294779501901,0.49666886393127957
0.56,0.4348161934336653,0.4105333008455465,0.21640149374696507,0.4936315184715644
0.5700000000000001,0.43305978317569277,0.4045925305069431,0.21079630150284603,0.49082872808325784
0.58,0.43160676025638356,0.3982870348159902,0.20488417752054536,0.4881695474256398
0.59,0.4302223475052553,0.39190799362416506,0.19880439187090324,0.4851860994479413
0.6,0.4286698671188231,0.3853962816841437,0.1924814402604969,0.48188267228834747
0.61,0.42702175777899093,0.3788037120798565,0.18641503548311625,0.47818443611036704
0.62,0.42555945958924946,0.3719185702165805,0.18072785772598485,0.4738429286984613
0.63,0.42407565719170764,0.3649037434034228,0.17555115327075146,0.469450782165862
0.64,0.422760312547192,0.3581134382831237,0.17078999587086252,0.46486584528482777
0.65,0.4217743380855397,0.3510137135098439,0.1668084181941616,0.4594631330387459
0.66,0.4208707825593019,0.343654746277068,0.1632834706067837,0.4536261227894012
0.67,0.4202995556548877,0.3363843418174027,0.1601785214378948,0.4480465608645079
0.68,0.4196313479027937,0.32853400497793195,0.15714345116815076,0.44212993327561634
0.6900000000000001,0.4193193134268321,0.3212609085959,0.1542876484525614,0.4360746600548245
0.7000000000000001,0.4189211109252472,0.3139215417914912,0.15172321152491167,0.43014186326713044
0.71,0.4188887315745592,0.3065636782187823,0.14912874080366648,0.424569343323957
0.72,0.4188100219823191,0.299008419540503,0.1465822856995442,0.41884056281159276
0.73,0.41855428845799125,0.2913726754689192,0.1441036782751828,0.4132858411268228
0.74,0.4181349741334183,0.2837369533875133,0.1420190848289355,0.4080242240726722
0.75,0.4173968582247297,0.2763028634863669,0.1397192779695555,0.4032491264334793
0.76,0.4172371951857003,0.2689906001400316,0.13738939244652978,0.39815383419487743
0.77,0.4172679232309007,0.26154784514606194,0.13531950484559072,0.3935847702169165
0.78,0.41688397194299426,0.25454526602831623,0.1333278034972757,0.3890794533790688
0.79,0.41654235520732247,0.24699480064304022,0.13130548756644025,0.38453953066908303
0.8,0.41592405602274973,0.24014203379005156,0.12884167946592862,0.38059125454447934
0.81,0.41494853612076,0.23284403963439038,0.12657072881817166,0.3766692195907467
0.8200000000000001,0.4135131424709324,0.22482337659594692,0.12428373797429589,0.37305667260893
0.8300000000000001,0.4109213460028938,0.21693305095927418,0.12141488188817899,0.3692735682891899
0.84,0.4065361713452043,0.2091156637155525,0.1182346539687971,0.36581519473667334
0.85,0.4004156581465195,0.20049422767421524,0.11517278959840835,0.36188835650300205
0.86,0.3914015169001578,0.1916247342166077,0.11178245272925261,0.3570486254547393
0.87,0.3792330997695556,0.18206861862037504,0.10881771497420661,0.3517787695707704
0.88,0.3641190708519725,0.17308106601107578,0.10580273979546577,0.34581077457042797
0.89,0.3462708232529204,0.16425658394967857,0.10247459735950785,0.34076888178453163
0.9,0.3255283477229439,0.15451058216144498,0.09917235978208387,0.33576015932167025
0.91,0.3003890458871387,0.14472844935011173,0.09500999015768818,0.330013266448323
0.92,0.27340338071273446,0.1341830261038165,0.0904152944698687,0.3249983967538638
0.93,0.2441154426859867,0.12346979785581612,0.08195474837882753,0.3169894794352609
0.9400000000000001,0.21266996996616444,0.1124938221540723,0.07111809506912851,0.30514745891827183
0.9500000000000001,0.17796668162014614,0.10054820976436864,0.06002174590743542,0.2904715265146215
0.96,0.14366772798555338,0.08337214275531056,0.05025899348952145,0.271046126579917
0.97,0.09932709001279923,0.06627719836271243,0.03900596874960398,0.24942866470780276
0.98,0.04835766423357664,0.04706508515815085,0.023456508515815083,0.2197607443509083
0.99,0.00836374695863747,0.021897810218978107,0.0044099756690997565,0.17414420296614122
