AD,CN,volume
0.0003495683376904665,8.621518438825922e-05,5683.0
0.00033925862854239933,9.965053950148798e-05,5771.666666666667
0.0003288888585303721,0.00011460275368688009,5860.333333333334
0.00031983703138679915,0.00013088386820084768,5949.0
0.0003128421644198781,0.00014791210606836914,6037.666666666667
0.00030776400704245503,0.00016498598575450104,6126.333333333334
0.0003036432537934284,0.00018175914624775157,6215.0
0.00029903573465263827,0.00019855805523366345,6303.666666666667
0.0002924937886094111,0.00021622498173123062,6392.333333333334
0.0002830249314235551,0.00023554367803578887,6481.0
0.00027038130255023,0.00025668387995750054,6569.666666666667
0.0002551013859178367,0.00027908706229270064,6658.333333333334
0.00023830453765653773,0.0003018038113913862,6747.0
0.0002213068982661713,0.00032391612020130913,6835.666666666667
0.0002051785967258989,0.0003447329279906218,6924.333333333334
0.0001903911721209853,0.00036382247886986675,7013.0
0.000176692276954719,0.00038113863281717827,7101.666666666667
0.00016327323104295971,0.0003972331227579124,7190.333333333334
0.0001491749572992422,0.00041314999360139444,7279.0
0.00013376277156849488,0.0004296501691847306,7367.666666666667
0.00011705882863395822,0.000446031800409904,7456.333333333334
9.978583105067756e-05,0.00045943260599254273,7545.0
8.311507388788827e-05,0.0004654342528716919,7633.666666666667
6.824785426588424e-05,0.00045994603186097423,7722.333333333334
5.601961813687285e-05,0.0004413598149358681,7811.0
4.667962229357119e-05,0.000411636180210422,7899.666666666667
3.9900222207217925e-05,0.00037559375305701786,7988.333333333334
3.496900263062675e-05,0.00033880818683539314,8077.0
3.1059581449533834e-05,0.00030538005744099457,8165.666666666667
2.7474906609584682e-05,0.000276804176957193,8254.333333333334
2.379387049330108e-05,0.000252325312498639,8343.0
1.990177140853e-05,0.0002301829648931832,8431.666666666668
1.5926507338625293e-05,0.00020877804682860988,8520.333333333334
1.2125092323364475e-05,0.00018719776563556884,8609.0
8.76793257886623e-06,0.00016519629630331196,8697.666666666668
6.055661362034027e-06,0.00014302725454235383,8786.333333333334
4.082611287376524e-06,0.0001213391164522765,8875.0
2.840769455146305e-06,0.00010105545142665608,8963.666666666668
2.2457409110168354e-06,8.312731382713587e-05,9052.333333333334
2.1654022660521544e-06,6.822376559201519e-05,9141.0
2.440580957563211e-06,5.653328652445266e-05,9229.666666666668
2.898650330026321e-06,4.775779923722993e-05,9318.333333333334
3.36782059942208e-06,4.123855909048384e-05,9407.0
3.6981446622281642e-06,3.6126859372016975e-05,9495.666666666668
3.787005817489164e-06,3.157579571731019e-05,9584.333333333334
3.5989366288849197e-06,2.6949828481014633e-05,9673.0
3.1685878994890703e-06,2.1993803657354638e-05,9761.666666666668
2.58287362534031e-06,1.6866680739683797e-05,9850.333333333334
1.948907357901472e-06,1.2003027146979685e-05,9939.0
1.3611183472096205e-06,7.87569756145215e-06,10027.666666666668
8.798427607119377e-07,4.792952540914649e-06,10116.333333333334
5.263981496094154e-07,2.8225202599031785e-06,10205.0
2.9148900661698136e-07,1.8379618154050212e-06,10293.666666666668
1.4939221795793165e-07,1.6127575974447154e-06,10382.333333333334
7.086495783021495e-08,1.8899045570903007e-06,10471.0
3.111234739668675e-08,2.40824544687521e-06,10559.666666666668
1.2642462883746269e-08,2.915257708035782e-06,10648.333333333334
4.754756126683896e-09,3.199921965790782e-06,10737.0
1.6550931990953135e-09,3.1439910832989944e-06,10825.666666666668
5.332296722016396e-10,2.7557320402825858e-06,10914.333333333334
1.5900244720197617e-10,2.152918784884716e-06,11003.0
4.388245892238253e-11,1.4988403270865121e-06,11091.666666666668
1.1209229144922284e-11,9.29811186093568e-07,11180.333333333334
2.650075125310155e-12,5.139717359417556e-07,11269.0
