age,controls,patients
31.5,2.670504759825524e-111,3.788926744493275e-134
32.0,1.6251522782123769e-106,7.117814177490154e-129
32.5,7.72164081138822e-102,1.043979361233298e-123
33.0,2.8644415203920985e-97,1.1955066888409922e-118
33.5,8.296313502222887e-93,1.0688750449972383e-113
34.0,1.876053328785059e-88,7.461337677520673e-109
34.5,3.3122265505733933e-84,4.0665047422297954e-104
35.0,4.565724673779884e-80,1.7303768701821358e-99
35.5,4.9137633118622696e-76,5.74877021918652e-95
36.0,4.1288925217701747e-72,1.4911592596532389e-90
36.5,2.708742692005878e-68,3.0198678647042633e-86
37.0,1.3874481342946954e-64,4.77492642043733e-82
37.5,5.548563899317253e-61,5.894680351642876e-78
38.0,1.7324442045323248e-57,5.6815740391816816e-74
38.5,4.2233079619479927e-54,4.275549299457266e-70
39.0,8.038241978460293e-51,2.5120599943802397e-66
39.5,1.1944947091182739e-47,1.1523461166427648e-62
40.0,1.385869110943018e-44,4.127154559156524e-59
40.5,1.2553794920220996e-41,1.1540732968088799e-55
41.0,8.878562870414393e-39,2.5195961741988767e-52
41.5,4.902585190416005e-36,4.294804582649367e-49
42.0,2.1135983129427057e-33,5.715718643397224e-46
42.5,7.114339535331767e-31,5.93899988066729e-43
43.0,1.869655334097431e-28,4.818045987676598e-40
43.5,3.8362186075349803e-26,3.051714391035051e-37
44.0,6.145538902485247e-24,1.509150011933981e-34
44.5,7.686549473932304e-22,5.826891330118594e-32
45.0,7.50615816718507e-20,1.7565399138909333e-29
45.5,5.722935168946773e-18,4.134249385796212e-27
46.0,3.406706904922676e-16,7.59721332305342e-25
46.5,1.583308507775707e-14,1.0900168849190475e-22
47.0,5.745279350456998e-13,1.2210595952732605e-20
47.5,1.627689585447956e-11,1.0679984144804388e-18
48.0,3.6003676379056407e-10,7.293614545627448e-17
48.5,6.217802798708598e-09,3.889254956838464e-15
49.0,8.38381851747106e-08,1.6194277771735998e-13
49.5,8.825953262457785e-07,5.2657442303915606e-12
50.0,7.254311629251594e-06,1.3372422899943326e-10
50.5,4.6552780183180176e-05,2.6527093546546154e-09
51.0,0.00023324367055711299,4.11168243307868e-08
51.5,0.0009124077006202059,4.981849331015279e-07
52.0,0.002786652708144657,4.721760569128336e-06
52.5,0.006644948027440961,3.504578120932205e-05
53.0,0.012371296623837189,0.0002040505654891011
53.5,0.017982675084853718,0.0009345293049203329
54.0,0.020408660351982816,0.0033809959399041813
54.5,0.018086471320333412,0.009725587909186637
55.0,0.012533291990498312,0.022459524246204354
55.5,0.006885792514579684,0.04221320584331006
56.0,0.0034073235848250194,0.06576599946751133
56.5,0.002838286386397306,0.086910911941938
57.0,0.0053749900973861274,0.10028799751847917
57.5,0.011258600762129922,0.1051272070603789
58.0,0.020514676161066645,0.10590514095333295
58.5,0.03322304952333651,0.10924425386638717
59.0,0.050341028942035876,0.11947765655197469
59.5,0.07242810510260064,0.13722607593074018
60.0,0.0962394909211254,0.16199704140073046
60.5,0.11491420302108396,0.19380472265655554
61.0,0.12409184825941716,0.2297233058551933
61.5,0.12625436839433607,0.2601413045572547
62.0,0.12693135945844555,0.2736686361245267
62.5,0.12816649402372032,0.26949758169983656
63.0,0.1277559346427161,0.26192092451554616
63.5,0.12436103710430933,0.2665502140160347
64.0,0.12197233475847126,0.2829085066437209
64.5,0.12902439869316992,0.29761826467985464
65.0,0.15309530159842316,0.30371582366912137
65.5,0.19501983548109886,0.30644952117614876
66.0,0.2464798454965088,0.30941550954681224
66.5,0.29375435711628917,0.30770807405929335
67.0,0.3249837109655423,0.29895699245027807
67.5,0.3352457327117585,0.2911583812728696
68.0,0.32878193182499427,0.2941739783929557
68.5,0.32002144176613273,0.3076689436156594
69.0,0.3297404369834141,0.3210795453310612
69.5,0.37348224845105726,0.32730180825057625
70.0,0.4502420336453573,0.3361566046085972
70.5,0.5431671324255022,0.367853484105831
71.0,0.6314143552947904,0.428606167773607
71.5,0.7014455799502385,0.49803012296428956
72.0,0.7505059831526877,0.5450937367063544
72.5,0.7822080545118472,0.5536652588096246
73.0,0.7980181721200005,0.5325188356603784
73.5,0.7935469413806947,0.5066197431751086
74.0,0.7651387975101621,0.5016396568658975
74.5,0.7188503539347458,0.531136987727369
75.0,0.6701259362208699,0.5892631455797607
75.5,0.6336067595744167,0.6525336937167385
76.0,0.6132219749743318,0.6938719235992761
76.5,0.6022859268271161,0.7013660894465268
77.0,0.5925410312596728,0.6853870884831385
77.5,0.5816604753131733,0.6665567617183309
78.0,0.572558186039876,0.6573271831647548
78.5,0.5682130189459491,0.6566253299656245
79.0,0.5681113580307565,0.6581551387000788
79.5,0.5669662385838296,0.6558454733778923
80.0,0.5544901785957179,0.6419457337113457
80.5,0.5193625905264887,0.610705941730715
81.0,0.4588291449212501,0.5688611202616424
81.5,0.38581565426676656,0.5345153268019623
82.0,0.32505196568981887,0.5196726533777488
82.5,0.3005095991472545,0.5185764375371829
83.0,0.32303248145576,0.5162514951064139
83.5,0.385140739954962,0.5039311593830077
84.0,0.4641533619756717,0.48433764278710273
84.5,0.5296258195351375,0.46485694120966353
85.0,0.5524742589772551,0.4471187563759562
85.5,0.5168737765463773,0.4248354876243422
86.0,0.43053687151316367,0.3930093851157411
86.5,0.321641353378,0.3552164687782575
87.0,0.2210292025172439,0.3182102965854891
87.5,0.1458597798636785,0.2829961224398795
88.0,0.09747452728210505,0.24549649866718892
88.5,0.06873334906551756,0.20437271212591465
89.0,0.05092650396985441,0.16454944976949762
89.5,0.03742281476252591,0.13193550671633825
90.0,0.025250376603620957,0.10643968378864486
90.5,0.014692537810485063,0.08275203348409055
91.0,0.007078974320576251,0.05771568851688855
91.5,0.002756818859688009,0.034051818797138575
92.0,0.0008556634817084499,0.016408346766184582
92.5,0.00020992815310981886,0.006338509207249373
93.0,4.051197896929418e-05,0.0019438219385502615
93.5,6.131488911273069e-06,0.00047066650340854896
94.0,7.26522279621322e-07,8.968991458642134e-05
94.5,6.732351211367179e-08,1.3422557782109495e-05
95.0,4.875699554893896e-09,1.5753028430305775e-06
95.5,2.7585946290051315e-10,1.4483846520115998e-07
96.0,1.2190326948916841e-11,1.0424765725580837e-08
96.5,4.206839661911826e-13,5.870348029747526e-10
97.0,1.133629585556317e-14,2.5851589692166797e-11
97.5,2.385270078777847e-16,8.899997289310267e-13
98.0,3.918689741835374e-18,2.3947326067300838e-14
98.5,5.026578489324482e-20,5.03498716127306e-16
99.0,5.034160506742373e-22,8.270700905729424e-18
99.5,3.936420156054781e-24,1.0612847350763394e-19
