improved,stable,declined,points
0.23096990550858001,0.22477806193242894,0.08835339539238898,0.156312625250501
0.2249851493421626,0.22035333373574673,0.08799950793954599,0.15831663326653306
0.21927804686757374,0.2160002588793937,0.08763383811692803,0.16032064128256512
0.21383447441825654,0.2117219477770514,0.08725732972208892,0.1623246492985972
0.20864264124904935,0.20752114540300826,0.08687091407769065,0.16432865731462926
0.20369283378690448,0.20340024377404328,0.08647550887017957,0.16633266533066132
0.19897713081353016,0.19936129530119076,0.08607201709472001,0.16833667334669336
0.1944890994387513,0.19540602687917533,0.08566132610232832,0.17034068136272543
0.19022348128167443,0.19153585458495284,0.08524430674472454,0.1723446893787575
0.1861758776424555,0.18775189886111276,0.08482181261205762,0.17434869739478956
0.18234244165782956,0.18405500006498635,0.08439467935837426,0.17635270541082163
